epoch           num_updates     train_loss      validation_loss timestamp       
0               0               7.8785          7.7166          2020-03-05 20:02:17.556154
1               100             303.4662        243.5619        2020-03-05 20:05:10.434690
2               201             611.6664        531.6546        2020-03-05 20:08:02.417490
3               303             592.4851        535.8964        2020-03-05 20:10:46.763631
4               404             961.439         786.4077        2020-03-05 20:13:34.463959
5               506             1033.6945       898.9858        2020-03-05 20:16:24.156189
6               606             918.526         817.1076        2020-03-05 20:19:06.704787
7               705             1158.7333       1051.8838       2020-03-05 20:21:44.753894
8               806             734.8757        675.0969        2020-03-05 20:24:26.710172
9               906             606.5433        566.5276        2020-03-05 20:27:09.275632
10              1008            733.8096        686.6311        2020-03-05 20:29:50.774061
11              1107            767.2125        749.4896        2020-03-05 20:32:30.229919
12              1207            658.1992        626.9191        2020-03-05 20:35:13.488510
13              1307            833.8972        798.7043        2020-03-05 20:37:59.272792
14              1407            763.4879        753.6199        2020-03-05 20:40:47.289154
15              1508            757.9174        766.63          2020-03-05 20:43:35.427922
16              1607            563.6167        561.9958        2020-03-05 20:46:17.028837
17              1707            580.9576        594.5737        2020-03-05 20:48:59.881820
18              1807            1256.6431       1187.1313       2020-03-05 20:51:40.675947
19              1908            1232.5005       1176.0223       2020-03-05 20:54:25.577678
20              2008            767.9126        741.1465        2020-03-05 20:57:11.584777
21              2107            839.8339        838.7843        2020-03-05 20:59:53.225114
22              2209            802.1834        814.062         2020-03-05 21:02:36.184866
23              2307            1400.3295       1249.2816       2020-03-05 21:05:18.185466
24              2406            985.502         963.176         2020-03-05 21:08:00.940734
25              2507            1029.3473       1024.9501       2020-03-05 21:10:44.445841
26              2608            969.2249        1006.066        2020-03-05 21:13:30.296714
27              2708            1068.0161       1088.5844       2020-03-05 21:16:09.162234
28              2806            954.1055        991.9816        2020-03-05 21:18:49.711865
29              2907            950.6591        935.9007        2020-03-05 21:21:32.942581
30              3006            863.5563        889.8954        2020-03-05 21:24:20.080996
31              3108            916.9596        893.5506        2020-03-05 21:27:07.428767
32              3208            919.5042        927.1751        2020-03-05 21:29:53.163855
33              3310            977.0925        1021.3115       2020-03-05 21:32:36.661931
34              3411            980.3636        1029.1227       2020-03-05 21:35:21.871965
35              3512            971.8347        1021.2877       2020-03-05 21:38:07.029349
36              3612            1046.4158       1108.7217       2020-03-05 21:40:50.712624
37              3713            1073.6208       1123.6703       2020-03-05 21:43:35.157339
38              3812            1124.8999       1187.1343       2020-03-05 21:46:16.593985
39              3911            1509.9913       1563.223        2020-03-05 21:49:03.043495
40              4010            1164.598        1211.7094       2020-03-05 21:51:49.949630
41              4111            1116.5848       1167.4672       2020-03-05 21:54:39.122961
42              4209            1157.5333       1230.8403       2020-03-05 21:57:23.322806
43              4310            798.0869        826.2726        2020-03-05 22:00:08.489763
44              4412            1679.9794       1497.3091       2020-03-05 22:02:52.892715
45              4513            1322.465        1335.9073       2020-03-05 22:05:41.019137
46              4613            1222.9716       1230.6199       2020-03-05 22:08:24.165080
47              4715            1209.4161       1181.1532       2020-03-05 22:11:15.359883
48              4814            1023.4948       1015.2145       2020-03-05 22:14:05.454656
49              4912            1043.3621       1056.0945       2020-03-05 22:16:49.729259
50              5013            1099.9203       1137.4034       2020-03-05 22:19:45.300959
51              5114            1235.4961       1260.3459       2020-03-05 22:22:31.640922
52              5214            1239.616        1244.6761       2020-03-05 22:25:23.928900
53              5315            1029.6145       1027.8212       2020-03-05 22:28:11.009904
54              5414            1118.8833       1117.0977       2020-03-05 22:30:54.798041
55              5514            1348.4215       1305.0453       2020-03-05 22:33:36.115591
